signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
betaVIX,op,179,1.0900,3.5972,0.9314,72,0.4131,0.9328,0.3808,216,0.2028,0.8843,0.2084,120,0.2708,0.8247,0.2608,0.8466,-12.6971,-3.4009,-16.4114,2006,1986,2000,Price,volatility,M3,rule: Cat.Economic=volatility,price,1.0000,VW,1.0400,3.9000,1_clear,Systematic volatility,1.0900,3.5972,0.9314,0.4131,0.9328,0.3808,0.2028,0.8843,0.2084,0.2708,0.8247,0.2608,1.0900,3.5972,0.9314,0.4131,0.9328,0.3808,0.2028,0.8843,0.2084,0.2708,0.8247,0.2608,0.7437,2.5953,0.6720,0.2862,0.6960,0.2841,0.1998,0.8722,0.2056,0.2282,0.6928,0.2191,0.4968,2.4184,0.6262,0.4173,1.4504,0.5921,0.2080,0.9188,0.2166,0.0447,0.1429,0.0452,0.3790,0.1860,0.2484,0.3790,0.1860,0.2484,0.3790,0.1860,0.2484,0.3849,0.2686,0.3068,0.3177,0.0000,1,0.3790,0.1860,0.2484,0.3790,0.1860,0.2484,0.3790,0.1860,0.2484,0.3849,0.2686,0.3068,0,0,mid,pos skew,2006-2010
BM,op,180,1.1744,3.7918,0.9790,48,0.3020,0.5738,0.2869,528,0.6118,3.1793,0.4793,120,0.1448,0.2492,0.0788,1.6581,-9.6433,-2.6033,-17.6883,1980,1962,1976,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,,,1_clear,"Book to market, original (Stattman 1980)",1.0132,4.0264,1.0396,0.2044,0.4546,0.2273,0.4885,3.4341,0.5177,0.1810,0.4206,0.1330,0.5311,1.8505,0.4778,0.2782,0.5473,0.2737,0.2974,1.9482,0.2937,-0.0976,-0.2387,-0.0755,0.9892,3.5077,0.9057,-0.4493,-0.9354,-0.4677,0.6160,3.4604,0.5217,0.1307,0.3150,0.0996,0.9658,3.1340,0.8092,0.4283,0.7834,0.3917,0.3139,1.5575,0.2348,0.2449,0.3874,0.1225,0.2572,0.5209,0.1233,0.2017,0.4821,0.1786,0.5238,0.5599,-0.1838,-0.4542,0.6227,0.1321,0.1577,0.4758,0,0.2572,0.5209,0.1233,0.2017,0.4821,0.1786,0.5238,0.5599,-0.1838,-0.4542,0.6227,0.1321,0,0,mid,pos skew,<=1995
BMdec,op,336,0.9691,5.3352,1.0083,24,0.5141,0.8954,0.6331,384,0.6176,3.5255,0.6232,120,0.3441,1.1424,0.3613,0.7188,-11.4039,-3.7161,-37.1062,1992,1963,1990,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.5000,5.7100,1_clear,Book to market using December ME,0.9691,5.3352,1.0083,0.5141,0.8954,0.6331,0.6176,3.5255,0.6232,0.3441,1.1424,0.3613,0.5178,2.5959,0.4906,0.2617,0.3015,0.2132,-0.0169,-0.0948,-0.0168,-0.6601,-1.8345,-0.5801,0.6643,3.7171,0.7025,0.3600,0.6793,0.4803,0.2014,1.0318,0.1824,-0.0530,-0.1662,-0.0526,0.6265,3.4061,0.6437,0.5034,0.6471,0.4576,0.1565,1.0810,0.1911,0.0404,0.1231,0.0389,0.5305,0.6372,0.3550,0.5305,0.6372,0.3550,0.5055,-0.0326,-1.2749,0.5419,0.3032,-0.0797,0.3146,0.4657,0,0.5305,0.6372,0.3550,0.5305,0.6372,0.3550,0.5055,-0.0326,-1.2749,0.5419,0.3032,-0.0797,0,0,mid,pos skew,<=1995
BookLeverage,op,336,0.2689,3.2064,0.6059,24,-0.3966,-1.0136,-0.7168,384,-0.0285,-0.1232,-0.0218,120,-0.3979,-1.1439,-0.3617,-0.0544,-6.1870,-4.2001,-20.5917,1992,1963,1990,Accounting,leverage,M6,rule: Cat.Economic=leverage,accounting,12.0000,EW,,5.3400,1_clear,Book leverage (annual),0.2689,3.2064,0.6059,-0.3966,-1.0136,-0.7168,-0.0285,-0.1232,-0.0218,-0.3979,-1.1439,-0.3617,-0.0536,-0.3732,-0.0705,-0.5464,-0.9775,-0.6912,-0.1059,-0.4402,-0.0778,-0.2859,-1.0981,-0.3472,0.1466,1.3076,0.2471,-1.1000,-2.3726,-1.6777,-0.2790,-1.2602,-0.2228,-0.3209,-1.0792,-0.3413,0.2153,1.8751,0.3544,-1.2198,-2.0231,-1.4306,-0.0585,-0.4944,-0.0874,-0.1200,-0.5850,-0.1850,-1.4750,-0.1062,-1.4801,-1.4750,-0.1062,-1.4801,10.2005,1.9772,5.3381,-7.5051,-1.9038,-2.1892,0.4549,1.1992,0,-1.4750,-0.1062,-1.4801,-1.4750,-0.1062,-1.4801,2.5000,1.9772,2.5000,-1.5000,-1.5000,-1.5000,0,0,high (microcap),mid,<=1995
BPEBM,op,468,0.2211,2.7730,0.4440,72,-0.1051,-0.8200,-0.3348,204,-0.0323,-0.2430,-0.0589,120,-0.0960,-0.4668,-0.1476,1.3054,-7.1957,-4.3006,-27.7819,2007,1963,2001,Accounting,leverage,M6,rule: Cat.Economic=leverage,accounting,12.0000,EW,,4.1000,1_clear,Leverage component of BM,0.2211,2.7730,0.4440,-0.1051,-0.8200,-0.3348,-0.0323,-0.2430,-0.0589,-0.0960,-0.4668,-0.1476,0.2012,2.0883,0.3344,0.0504,0.2425,0.0990,0.2785,1.6372,0.3971,0.4053,1.6645,0.5263,0.2069,2.1227,0.3399,-0.0578,-0.3432,-0.1401,0.0048,0.0328,0.0080,-0.0147,-0.0664,-0.0210,0.1474,1.7199,0.2754,-0.0979,-0.7035,-0.2872,-0.0273,-0.1760,-0.0427,-0.0649,-0.2874,-0.0909,-0.4754,-0.1461,-0.4345,-0.4754,-0.1461,-0.4345,0.2503,1.3846,2.0148,-0.2793,0.0233,-0.0708,0.0639,0.0900,0,-0.4754,-0.1461,-0.4345,-0.4754,-0.1461,-0.4345,0.2503,1.3846,2.0148,-0.2793,0.0233,-0.0708,0,0,low (big-cap ok),pos skew,2006-2010
Cash,op,456,0.7153,3.0549,0.4956,36,-0.3033,-0.8054,-0.4650,144,-0.1256,-0.2449,-0.0707,120,-0.2547,-0.4288,-0.1356,2.1698,-16.6957,-3.4820,-81.9600,2012,1972,2009,Accounting,asset composition,M6,rule: Cat.Economic=asset composition,accounting,1.0000,EW,0.6900,2.1400,1_clear,Cash to assets,0.6284,3.0593,0.4963,-0.2686,-0.8863,-0.5117,-0.1225,-0.2969,-0.0857,-0.2161,-0.4485,-0.1418,0.4068,1.8635,0.3023,-0.0946,-0.2145,-0.1238,0.5747,1.5503,0.4475,0.5373,1.2344,0.3904,0.2624,0.9474,0.1537,-0.2205,-0.5204,-0.3005,0.0238,0.0483,0.0139,-0.1200,-0.2122,-0.0671,0.3669,2.9356,0.4762,-0.1917,-0.4811,-0.2778,0.0523,0.1305,0.0377,-0.0475,-0.1020,-0.0323,-0.4240,-0.1756,-0.3560,-0.4275,-0.1950,-0.3439,-0.2324,1.4128,1.3209,-0.8403,0.0908,-0.4574,0.6332,0.3526,1,-0.4240,-0.1756,-0.3560,-0.4275,-0.1950,-0.3439,-0.2324,1.4128,1.3209,-0.8403,0.0908,-0.4574,0,0,high (microcap),pos skew,2011-2016
CashProd,op,492,0.5200,3.1883,0.4979,72,-0.1625,-0.3790,-0.1547,180,0.2025,0.7746,0.2000,120,0.2125,0.5828,0.1843,-0.8119,-27.1712,-7.6540,-76.6342,2009,1963,2003,Accounting,profitability alt,M6,rule: Cat.Economic=profitability alt,accounting,1.0000,EW,,3.6000,1_clear,Cash Productivity,0.5200,3.1883,0.4979,-0.1625,-0.3790,-0.1547,0.2025,0.7746,0.2000,0.2125,0.5828,0.1843,0.1118,0.6979,0.1090,-0.3200,-0.8897,-0.3632,-0.3600,-1.4486,-0.3740,-0.5499,-1.5729,-0.4974,0.2035,1.1353,0.1773,-0.0561,-0.1225,-0.0500,0.0808,0.3097,0.0800,0.1059,0.2852,0.0902,0.1229,0.8918,0.1393,-0.2206,-0.4093,-0.1671,0.0591,0.1931,0.0499,0.0987,0.2237,0.0707,-0.3125,0.3894,0.4086,-0.3125,0.3894,0.4086,-2.8627,-3.2199,-4.9182,-0.2756,0.3969,0.5206,0.6086,0.7850,1,-0.3125,0.3894,0.4086,-0.3125,0.3894,0.4086,-1.5000,-1.5000,-1.5000,-0.2756,0.3969,0.5206,0,0,high (microcap),neg skew,2006-2010
CBOperProf,op,624,0.4815,3.3199,0.4604,24,0.8630,1.0167,0.7189,96,0.5679,0.9786,0.3460,120,0.6269,1.2717,0.4021,0.0676,-11.9095,-3.4201,-70.3517,2016,1963,2014,Accounting,profitability,M6,rule: Cat.Economic=profitability,accounting,12.0000,VW,0.4700,3.1700,1_clear,Cash-based operating profitability,0.3425,3.1648,0.4389,0.6161,1.1202,0.7921,0.6059,1.4238,0.5034,0.6079,1.7036,0.5387,0.3425,3.1648,0.4389,0.6161,1.1202,0.7921,0.6059,1.4238,0.5034,0.6079,1.7036,0.5387,0.4141,3.0150,0.4181,0.9258,1.1099,0.7848,0.6127,1.1406,0.4033,0.6753,1.4691,0.4646,0.2506,1.5379,0.2133,0.2296,0.2899,0.2050,-0.1951,-0.2839,-0.1004,-0.1101,-0.1929,-0.0610,1.7922,1.1794,1.3020,1.7987,1.7690,1.7749,1.7987,1.7690,1.7749,2.2358,1.4796,1.6309,0.1400,0.0000,0,1.7922,1.1794,1.3020,1.7987,1.7690,1.7749,1.7987,1.7690,1.7749,2.2358,1.4796,1.6309,0,0,mid,mid,2011-2016
CF,op,276,0.8276,4.0319,0.8407,48,-0.4711,-0.5389,-0.2695,360,0.3850,1.3488,0.2462,120,0.2390,0.4226,0.1336,-0.0087,-11.9402,-3.7443,-32.6925,1994,1968,1990,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.6583,3.3790,1_clear,Cash flow to market,0.8467,4.7955,0.9999,-0.0767,-0.1461,-0.0731,0.3521,1.7053,0.3113,0.1169,0.2731,0.0863,0.6089,2.5132,0.5240,-0.3136,-0.7245,-0.3623,0.2508,1.1645,0.2126,-0.1946,-0.4629,-0.1464,0.8417,3.4244,0.7140,0.5692,1.1457,0.5729,0.4454,1.3515,0.2468,0.2682,0.5414,0.1712,0.7294,3.1187,0.6503,0.0648,0.1118,0.0559,0.1781,0.8063,0.1472,-0.0214,-0.0421,-0.0133,-0.5692,0.4653,0.2888,-0.0906,0.4158,0.1381,-0.5150,0.4120,-0.3196,0.6763,0.5292,0.3187,-0.0170,0.2809,0,-0.5692,0.4653,0.2888,-0.0906,0.4158,0.1381,-0.5150,0.4120,-0.3196,0.6763,0.5292,0.3187,0,0,low (big-cap ok),mid,<=1995
cfp,op,300,0.3639,2.1927,0.4385,84,-0.2492,-0.2570,-0.0971,240,0.9326,3.0094,0.6729,120,1.1208,2.0644,0.6528,-0.4990,-13.3478,-4.7706,-32.9030,2004,1973,1997,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,1.2750,2.7700,1_clear,Operating Cash flows to price,0.3639,2.1927,0.4385,-0.2492,-0.2570,-0.0971,0.9326,3.0094,0.6729,1.1208,2.0644,0.6528,0.3200,1.6698,0.3340,0.1289,0.1666,0.0630,0.3821,1.4732,0.3294,0.2332,0.5612,0.1775,0.4381,3.0023,0.6005,0.8768,0.9518,0.3598,0.5397,2.1365,0.4777,0.4898,1.0902,0.3448,0.2916,2.2800,0.4560,0.8336,2.7519,1.0401,0.5899,2.1648,0.4841,0.5802,1.1949,0.3779,-0.6848,2.5629,3.0804,-0.6848,2.5629,3.0804,0.4027,1.1941,0.7288,2.0013,1.2319,1.1179,-0.2041,0.1205,0,-0.6848,2.5000,2.5000,-0.6848,2.5000,2.5000,0.4027,1.1941,0.7288,2.0013,1.2319,1.1179,1,0,low (big-cap ok),neg skew,1996-2005
